11	5	16	4
17	1	18	2
4	14	4	16
2	16	3	17
1	15	4	12
16	2	15	3
2	16	5	13
14	2	14	4
0	18	1	19
4	14	3	15
15	3	16	4
4	14	2	16
5	11	9	9
13	5	17	1
16	2	19	1
17	1	16	2
0	16	2	16
16	0	15	3
1	15	5	15
0	18	5	15
15	1	16	4
1	15	7	13
3	15	1	17
15	1	12	8
16	0	17	3
1	15	1	19
7	11	11	9
7	11	13	7
16	0	15	1
2	14	7	11
2	14	3	15
7	9	5	13
15	1	14	4
14	2	14	6
1	17	3	15
17	1	16	4
2	16	5	15
17	1	17	3
15	1	15	5
12	6	15	5
1	15	0	18
16	2	16	2
17	1	18	2
1	17	3	17
4	12	2	16
7	9	8	12
8	8	14	4
17	1	16	4
1	17	4	16
1	17	3	17
15	3	19	1
1	17	5	15
12	4	19	1
4	14	1	19
11	3	11	5
2	14	5	13
13	5	16	2
7	7	9	11
7	9	12	6
10	4	9	7
4	12	5	11
1	15	2	16
15	3	16	4
4	8	5	13
11	1	17	1
12	4	11	7
2	14	4	14
2	14	4	14
4	14	7	11
14	4	13	5
16	0	17	1
0	16	3	13
16	2	13	1
10	4	12	6
5	11	12	8
4	10	5	15
1	11	0	16
3	9	8	8
1	13	1	17
0	12	4	16
5	11	5	11
16	2	16	0
4	14	3	13
2	14	4	14
13	5	11	5
11	5	8	8
11	3	16	4
13	5	12	8
15	3	14	4
13	3	16	2
1	15	0	12
13	3	7	5
0	14	2	18
9	5	9	11
11	3	16	0
3	15	1	17
16	0	15	1
10	6	11	7
14	4	10	4
13	1	9	5
13	1	14	0
12	4	13	3
16	2	18	2
13	1	16	0
14	2	14	4
14	4	20	0
5	13	4	16
5	13	4	14
0	16	4	14
12	4	13	5
15	3	18	2
3	15	1	17
3	15	1	17
16	0	16	4
16	2	16	2
1	17	0	18
0	14	3	11
10	4	18	0
9	9	7	11
2	16	0	18
16	2	16	2
2	14	0	18
11	7	12	6
9	9	10	10
1	17	5	15
0	16	1	19
12	4	10	10
10	8	9	11
3	13	6	12
12	4	9	9
5	13	8	12
9	5	8	8
16	2	20	0
13	1	13	7
15	3	17	3
4	14	2	18
9	9	12	8
15	3	18	2
1	17	5	13
4	14	4	16
16	2	17	3
7	11	6	14
16	2	12	6
12	0	12	6
2	12	2	12
2	14	1	15
0	16	2	14
1	15	2	14
13	1	16	0
14	0	14	2
14	4	15	5
2	16	3	17
16	2	14	4
0	18	2	18
0	18	3	17
2	16	1	19
15	3	13	5
6	10	4	16
0	18	3	17
2	14	1	17
5	13	4	14
3	15	2	16
2	16	1	19
7	11	6	12
10	4	14	4
17	1	18	2
8	10	7	13
15	3	14	4
17	1	18	2
2	16	2	18
2	16	2	18
16	2	18	0
15	3	15	3
10	8	7	11
1	13	2	14
13	3	14	2
12	4	13	3
15	1	14	2
1	15	0	18
15	1	15	3
7	9	3	15
14	2	14	4
11	5	11	5
1	15	4	14
5	11	5	13
17	1	17	1
10	8	7	7
18	0	18	2
1	17	5	13
2	16	2	16
1	17	2	10
2	12	2	18
14	0	16	4
12	2	18	2
14	2	14	2
12	2	14	2
7	9	5	13
1	17	3	17
5	13	8	12
6	12	2	18
3	15	0	20
2	12	0	20
14	0	12	6
12	2	18	0
2	12	1	15
0	16	2	16
3	13	2	18
1	17	1	19
13	5	18	2
16	2	16	2
1	15	3	17
18	0	12	2
16	2	17	1
1	15	1	17
10	6	12	4
10	4	17	3
15	1	19	1
5	11	4	16
8	8	7	13
18	0	16	4
11	7	8	12
7	9	13	7
0	16	1	19
10	8	5	13
0	18	2	16
14	2	19	1
6	6	9	11
10	6	16	2
13	1	17	1
2	12	2	14
12	2	14	2
3	11	2	14
15	1	14	2
12	6	14	4
0	18	1	17
15	3	12	6
18	0	17	1
17	1	14	4
17	1	18	2
16	2	18	0
2	14	2	12
12	2	16	2
15	1	17	3
2	14	0	16
0	18	2	18
1	13	2	14
12	2	13	3
1	15	1	13
13	3	16	0
1	9	0	14
2	12	3	15
12	2	16	0
14	2	18	0
1	13	1	17
1	13	4	14
1	17	1	19
2	16	1	15
0	18	1	15
17	1	16	0
9	7	12	8
0	14	2	14
1	11	1	15
2	12	4	12
3	13	1	13
11	3	12	2
12	2	18	2
9	3	13	5
15	1	17	1
6	12	9	11
1	13	0	20
11	3	14	2
15	1	16	0
0	16	1	15
15	3	15	5
14	0	16	4
15	1	18	0
2	14	0	18
16	0	17	1
3	15	3	15
16	2	17	1
0	14	1	15
0	14	1	15
13	1	15	3
3	11	3	15
12	6	11	9
10	8	11	9
3	15	4	16
12	2	10	4
1	17	5	11
6	12	6	10
5	13	3	15
0	18	1	17
9	9	11	7
16	2	13	3
1	15	2	16
13	3	11	5
6	8	3	13
4	12	7	11
0	16	1	15
14	2	17	1
13	3	13	3
3	13	4	12
15	1	14	2
4	14	3	15
4	14	2	14
5	13	3	13
5	11	7	11
13	3	16	2
16	0	15	3
1	15	2	16
2	14	0	16
7	11	5	13
2	16	1	13
7	11	3	15
16	2	16	2
0	16	2	14
2	16	0	20
12	6	15	5
10	8	15	5
18	0	17	3
5	13	3	17
15	3	18	2
17	1	19	1
16	2	15	1
1	17	2	14
16	2	14	2
13	5	14	4
6	10	4	16
10	8	15	5
8	8	5	15
15	3	16	2
18	0	18	2
8	8	9	11
13	1	19	1
6	10	3	17
3	13	2	18
5	13	4	16
18	0	15	5
0	18	3	17
2	16	4	16
10	6	20	0
5	13	5	15
16	0	15	5
17	1	16	4
1	17	1	17
13	5	14	4
18	0	15	1
13	3	13	5
13	3	15	5
17	1	20	0
10	6	3	17
17	1	19	1
12	4	15	5
5	7	6	10
2	16	0	18
16	2	16	2
16	2	15	3
15	1	15	3
15	1	17	1
15	1	17	1
16	0	16	2
1	13	4	12
13	3	17	1
16	0	13	3
0	14	4	14
0	16	2	12
2	16	2	16
16	2	16	2
13	3	13	7
14	4	10	10
8	8	9	11
6	10	3	11
5	11	4	12
13	5	15	5
6	12	8	10
3	13	5	15
12	6	15	3
0	16	1	17
15	1	13	5
2	14	3	17
12	4	16	2
13	3	18	2
8	8	9	11
9	7	11	7
12	2	15	3
3	13	0	16
15	1	15	1
6	10	7	13
15	1	19	1
6	10	4	16
7	9	3	11
1	15	2	16
7	9	8	10
14	2	16	2
7	5	9	7
13	1	17	1
0	18	3	15
0	14	1	11
3	13	1	13
10	2	18	0
2	12	1	17
12	2	15	1
2	16	3	15
13	5	14	0
0	14	1	15
15	1	18	0
16	2	16	2
0	18	4	12
4	14	1	15
12	6	14	6
14	4	16	2
13	5	10	8
8	8	11	9
9	7	10	10
16	0	19	1
10	8	8	12
8	8	13	7
3	13	0	14
11	5	9	9
2	14	1	17
13	3	14	4
18	0	14	2
1	17	1	17
1	15	3	15
2	14	1	17
1	17	1	19
1	17	2	18
7	11	8	12
6	12	6	14
10	8	11	7
3	15	0	20
8	10	8	12
16	2	18	2
13	5	14	6
5	13	1	15
12	6	7	13
5	13	5	15
3	15	0	20
4	14	9	11
17	1	19	1
15	1	16	2
2	16	2	18
1	17	1	15
12	4	7	11
14	0	16	2
17	1	19	1
12	4	7	9
9	7	9	7
8	4	10	6
0	12	2	14
15	1	15	1
9	5	6	12
3	11	3	17
13	3	17	1
3	13	1	17
18	0	18	2
3	15	4	16
14	4	16	4
17	1	14	2
10	8	12	6
17	1	20	0
17	1	18	2
9	5	13	5
2	14	2	16
17	1	18	2
12	6	18	2
4	14	2	18
14	4	14	6
11	7	17	3
16	2	18	2
18	0	15	5
5	13	4	16
2	16	3	17
4	14	3	15
2	16	1	17
14	4	18	2
18	0	18	2
2	16	1	17
11	3	11	9
14	4	15	5
11	5	14	6
14	2	15	5
2	14	1	19
13	3	20	0
0	14	2	14
1	15	2	16
2	14	2	16
2	14	1	17
3	13	2	14
14	2	15	1
12	4	19	1
0	16	3	17
2	14	2	18
17	1	19	1
3	15	6	14
15	3	17	3
14	4	16	4
3	15	4	16
18	0	18	2
6	12	6	14
5	13	5	15
15	3	17	3
3	15	6	14
7	11	8	12
5	13	0	20
15	3	17	1
1	13	1	17
1	13	1	17
1	17	1	19
15	3	19	1
12	6	9	11
14	4	16	4
1	15	1	15
0	18	1	15
7	5	7	9
11	3	16	0
0	16	1	17
4	12	4	14
10	6	13	3
6	10	4	14
2	12	2	18
2	12	2	18
4	14	4	12
14	4	15	1
14	2	16	2
9	9	6	14
12	4	17	3
4	14	4	16
12	6	10	10
11	7	9	11
7	11	10	10
8	10	11	7
1	17	1	17
15	3	18	0
0	16	2	16
13	1	17	1
17	1	14	2
