TR10030|c0_g1_i1	GO:0016021;GO:0016459;GO:0005524;GO:0003774;GO:0003676
TR10043|c0_g1_i1	GO:0005829;GO:0005634;GO:0072572;GO:0061630;GO:0004842;GO:0008270;GO:0090263;GO:0051865;GO:0070936;GO:0006511;GO:0016055
TR10050|c0_g1_i1	
TR10054|c0_g1_i1	GO:0005576
TR10054|c0_g2_i1	GO:0005576
TR10082|c0_g2_i1	GO:0060473;GO:0005794;GO:0005797;GO:0030173;GO:0015165;GO:0015136;GO:0008643
TR10083|c0_g2_i1	GO:0071339;GO:0005669;GO:0005524;GO:0003677;GO:0004402;GO:0004674;GO:0007049;GO:0006352;GO:0045944
TR10090|c0_g1_i1	GO:0016021;GO:0003676;GO:0015074
TR10090|c0_g2_i1	GO:0004190
TR10103|c0_g1_i1	GO:0009986;GO:0005576;GO:0005615;GO:0016021;GO:0043005;GO:0043025;GO:0043204;GO:0048471;GO:0005886;GO:0030141;GO:0030667;GO:0005802;GO:0030658;GO:0005509;GO:0005507;GO:0031418;GO:0004598;GO:0004504;GO:0019901;GO:0008270;GO:0007417;GO:0007507;GO:0007595;GO:0060173;GO:0001676;GO:0060135;GO:0042476;GO:0022602;GO:0001519;GO:0006518;GO:0018032;GO:0051260;GO:0019538;GO:0032956;GO:0050708;GO:0006357;GO:0046688;GO:0042493;GO:0032355;GO:0051384;GO:0001666;GO:0009268;GO:0009404
TR10108|c0_g1_i1	GO:0003677;GO:0015074;GO:0006310
TR10110|c0_g1_i1	GO:0008233
TR10111|c0_g1_i1	GO:0005739;GO:0005777;GO:0008289;GO:0033814;GO:1901373;GO:0015914;GO:0032385;GO:0006694
TR10125|c0_g1_i1	
TR10132|c0_g1_i1	GO:0000786;GO:0005634;GO:0003677;GO:0046982
TR10142|c0_g1_i1	GO:0016021;GO:0005886;GO:0005228;GO:0015271;GO:0005267;GO:0006813;GO:0042391
TR10142|c0_g1_i2	GO:0016021;GO:0005886;GO:0005228;GO:0015271;GO:0005267;GO:0006813;GO:0042391
TR10161|c0_g1_i1	
TR10166|c0_g1_i1	GO:0050662;GO:0050325
TR10172|c0_g1_i1	GO:0045179;GO:0043197;GO:0098978;GO:0016459;GO:0043005;GO:0043025;GO:0048471;GO:0005886;GO:0098871;GO:0098944;GO:0098685;GO:0051015;GO:0005524;GO:0016887;GO:0005516;GO:0035255;GO:0003774;GO:0017137;GO:1905430;GO:0060997;GO:0016197;GO:0099639;GO:0045773;GO:0050775;GO:1903543;GO:1903078;GO:0015031;GO:0099159;GO:0032880;GO:0099003
